user_input,retrieved_contexts,response,reference,context_precision,faithfulness,answer_correctness
What is the time limit for a traveler to return excess advance amounts after a trip?,"[""returned or documented properly within sixty (60) days, this amount will be deducted from the employee's paycheck.  A new travel advance will not be permitted if the traveler has outstanding travel advances. Failure to properly account for travel advances in a timely manner may result in suspension or cancellation of travel privileges."", ""returned or documented properly within sixty (60) days, this amount will be deducted from the employee's paycheck.  A new travel advance will not be permitted if the traveler has outstanding travel advances. Failure to properly account for travel advances in a timely manner may result in suspension or cancellation of travel privileges."", ""- If a faculty or staff member does not substantiate expenses and/or return any excess advance within a reasonable period of time (&lt;120 days), this amount must be treated as if it were paid under a nonaccountable plan and must be treated as compensation, subject to withholding on the individual's W-2 form and may lead to a loss of travel privileges and use of the University P-card..""]","&lt;120 days. If not returned within this period, it must be treated as compensation subject to withholding and may lead to loss of privileges. I cannot find further details on deduction specifics from the paycheck in the provided context.","Faculty and staff must return any advance amounts in excess of substantiated expenses within 120 days after completion of the trip. After this period, unsubstantiated expenses must be treated as nonaccountable plan compensation and subjected to withholding on W-2 form among other consequences.",0,0.8333333333,0.75
Can I use a travel cash advance to pay for my hotel room and flight?,"['Cash advances should only be used for cash needed for items such as taxis, tolls, tips, and meals.  The travel advance cannot be issued for airfare, lodging, conference fees or any other substantial fees that can be prepaid, prearranged, invoiced or charged to a University Purchasing Card.   Cash advances for expenses are temporary and must be settled within fifteen (15) days after a trip has occurred.  If the advance is not', 'Cash advances should only be used for cash needed for items such as taxis, tolls, tips, and meals.  The travel advance cannot be issued for airfare, lodging, conference fees or any other substantial fees that can be prepaid, prearranged, invoiced or charged to a University Purchasing Card.   Cash advances for expenses are temporary and must be settled within fifteen (15) days after a trip has occurred.  If the advance is not', 'The travel supervisor must carry enough cash or credit on their person to resolve reasonably foreseeable problems.  Use of the University purchasing card is the recommended source for travel.  A cash advance may be obtained through the business office for this purpose (see Purchasing Card Program within the Traveling  on  University-related  business  section).    Student  Senate  funding  is  not  available  for  cash advances.']","No, the travel advance cannot be issued for airfare, lodging, conference fees, or any other substantial fees that can be prepaid or charged to a University Purchasing Card.","No, the travel advance cannot be issued for airfare, lodging, conference fees, or any other substantial fees that can be prepaid or charged to a University Purchasing Card.",1,1,0.3801398314
Does the University cover the cost of first-class or business-class flights?,"['## Air/Rail Travel  \nThe University of Mount Union covers the cost of coach class tickets.  Any upgrades, enhancements, or additional travel insurance (see insurance section for more details) are personal expenditures and will not be reimbursed by the institution.', '## Air/Rail Travel  \nThe University of Mount Union covers the cost of coach class tickets.  Any upgrades, enhancements, or additional travel insurance (see insurance section for more details) are personal expenditures and will not be reimbursed by the institution.', ""- Faculty and staff traveling on University business, either domestically or abroad are automatically covered by the institution's Travel Accident Insurance policy at no cost to the traveler.  Additional travel insurance is available by charging the airline ticket to the Corporate Card.  Details are available by contacting the Office of Business Affairs.  Additional insurance may be suggested while traveling abroad.  Please consult your personal insurance agent for additional information.""]","No, the provided context explicitly states that any upgrades beyond coach class are considered a personal expenditure and will not be reimbursed by the institution for travel.","No, the University of Mount Union covers the cost of coach class tickets and requires travelers to book the lowest priced nonstop coach class airfare available.",1,1,0.3751789909
Are we allowed to rent luxury cars or 15-passenger vans for University business?,"['Students will not be permitted to contract for a rental or leased vehicle on behalf of the University without Vice President or Dean approval.  \nAn intermediate sedan is sufficient for most travelers on University business.  Upgrades to a more expensive car or SUV are not permitted without pre-approval by your Area Vice President as shown on the pre-travel request form.  No luxury cars, sports cars, or 15-passenger vans are permitted as rentals.  Travelers are encouraged to rent hybrid and fuel-efficient vehicles when available and rental costs are similar to those of conventional vehicles.', 'Students will not be permitted to contract for a rental or leased vehicle on behalf of the University without Vice President or Dean approval.  \nAn intermediate sedan is sufficient for most travelers on University business.  Upgrades to a more expensive car or SUV are not permitted without pre-approval by your Area Vice President as shown on the pre-travel request form.  No luxury cars, sports cars, or 15-passenger vans are permitted as rentals.  Travelers are encouraged to rent hybrid and fuel-efficient vehicles when available and rental costs are similar to those of conventional vehicles.', 'When a fleet vehicle is not available, travelers can secure a rental vehicle paid for with University funds when it has been determined in advance that the rental is necessary for conducting University-related business and other forms of transportation are either not available or more expensive.  All rentals should be at the corporate rate or the lowest possible rate per day.  Contact the Office of Purchasing and Risk Management for details.  When traveling in groups, sharing of cars is encouraged to reduce costs.  Fuel cost will be reimbursed based upon actual fuel purchased, not mileage.']","No, you are not allowed to rent luxury cars or 15-passenger vans for University business according to the provided policies.","No luxury cars, sports cars, or 15-passenger vans are permitted as rentals.",1,1,0.9372938494
Should I purchase collision damage insurance (CDI) when renting a vehicle in the United States?,"[""Collision damage insurance (CDI), personal accident insurance (PAI) and liability insurance supplements should always be declined when traveling within the United States; if elected, this insurance is NOT REIMBURSABLE .  The University's insurance will cover the costs of damage to a rental car, however the applicable deductible will be charged to the individual or department.  The Collision Damage Insurance for international travel is the only approved rental insurance expenditure."", ""Collision damage insurance (CDI), personal accident insurance (PAI) and liability insurance supplements should always be declined when traveling within the United States; if elected, this insurance is NOT REIMBURSABLE .  The University's insurance will cover the costs of damage to a rental car, however the applicable deductible will be charged to the individual or department.  The Collision Damage Insurance for international travel is the only approved rental insurance expenditure."", ""## Auto Liability Insurance  \nMount Union owned/rented vehicles are insured under the University's auto and liability policy within the domestic U.S. and Canada for all approved drivers.  Approved drivers who are renting a vehicle should not purchase the 'collision damage waiver' offered by rental companies.  Please consult the Fleet Policy for further details and for accident procedures while traveling.""]","No, you should decline Collision Damage Insurance (CDI) when traveling within the United States as it is not reimbursable. The University's policy will cover rental car damage with an applicable deductible charged to the individual or department in such cases.","No, collision damage insurance (CDI), personal accident insurance (PAI), and liability insurance supplements should always be declined when traveling within the United States, and are not reimbursable if elected.",1,1,0.389211192
How will I be reimbursed if I drive my personal vehicle instead of flying?,"['The traveler must document the mileage to the destination by the most direct route by attaching a printout for mileage from a reputable source, such as MapQuest or Google Maps.  Gasoline purchased for a personal vehicle is not reimbursable, nor should it be charged on a University PCard.  Expenses incurred for mechanical failures or accidents, including personal automobile  \ninsurance deductibles will not be reimbursed.  Fines for parking or traffic violations are the responsibility of the traveler and also will not be reimbursed.', 'The traveler must document the mileage to the destination by the most direct route by attaching a printout for mileage from a reputable source, such as MapQuest or Google Maps.  Gasoline purchased for a personal vehicle is not reimbursable, nor should it be charged on a University PCard.  Expenses incurred for mechanical failures or accidents, including personal automobile  \ninsurance deductibles will not be reimbursed.  Fines for parking or traffic violations are the responsibility of the traveler and also will not be reimbursed.', '2. Any travel expenses incurred without the Use of the P-Card (such as mileage in a personal vehicle, cash for meals, tips, etc.) must be submitted on the Travel and Miscellaneous Expense Reimbursement Form .']","You are not eligible for mileage reimbursement when using a personal vehicle, as per the provided policies. All travel expenses must still be submitted on the Travel and Miscellaneous Expense Reimbursement Form even if incurred by your own means of transportation like cash or tips at meals; however, gasoline costs are not reimbursable nor should they charge a University PCard for mileage.",The use of personal vehicles is reimbursable based on a mileage rate published by the Business Office; gasoline purchased for a personal vehicle is not reimbursable.,1,0.8571428571,0.3600633233
Is there a distance minimum to qualify for lodging reimbursement?,"[""It is the responsibility of the traveler to cancel any room reservation that will not be used.  A record of the cancellation number should be retained in case of any billing disputes.  If a traveler fails to cancel a reservation in a timely manner, he/she will be held responsible for cancellation fees.  \nNo lodging reimbursement is allowed for travel 75 miles or less (one way) from traveler's place of work, for less than 24 hours."", ""It is the responsibility of the traveler to cancel any room reservation that will not be used.  A record of the cancellation number should be retained in case of any billing disputes.  If a traveler fails to cancel a reservation in a timely manner, he/she will be held responsible for cancellation fees.  \nNo lodging reimbursement is allowed for travel 75 miles or less (one way) from traveler's place of work, for less than 24 hours."", ""- Travelers must provide, on an authorized Travel and Miscellaneous Expense Reimbursement Form or electronically if using the University Purchasing Card ('P-Card'), a statement substantiating the amount, time, use and business purpose of expenses within a reasonable time (not to exceed sixty (60) days) after the expenses are incurred .  Original receipts must be attached to the statement for all expenditures over $25.""]","Yes, lodging reimbursement is not allowed if traveler's place of work is within 75 miles or less (one way). The maximum stay duration without eligibility for reimbursement should be under 24 hours. I cannot find this information in the provided policies regarding a specific ""distance minimum"" beyond stating that shorter trips and stays are not covered by lodging expenses.","Yes, no lodging reimbursement is allowed for travel 75 miles or less (one way) from the traveler's place of work for less than 24 hours.",1,0.5,0.7198085333
What is the maximum daily reimbursement limit for meals?,"[""Individual meals will be reimbursed for reasonable meal expenses incurred while traveling or entertaining on University business.  Fiscal prudence should be used when the traveler is having meals while away from the University.  A detailed list of items purchased must be provided in order to get reimbursed.  Payment or reimbursement is made using the 'Actual Expense Method;' however actual expenses should not exceed $55 per day. Major cities will be paid at a rate of $65 per day and include Boston, Dallas, Las Vegas, Los Angeles, New Orleans, New York, San Francisco, Seattle and Washington"", ""Individual meals will be reimbursed for reasonable meal expenses incurred while traveling or entertaining on University business.  Fiscal prudence should be used when the traveler is having meals while away from the University.  A detailed list of items purchased must be provided in order to get reimbursed.  Payment or reimbursement is made using the 'Actual Expense Method;' however actual expenses should not exceed $55 per day. Major cities will be paid at a rate of $65 per day and include Boston, Dallas, Las Vegas, Los Angeles, New Orleans, New York, San Francisco, Seattle and Washington"", ""Alcoholic beverages are not considered a reimbursable expense unless approved in advance for business entertainment purposes, such as donor-relations' events.  In no case will more than 20% of the total billable meal expenses be reimbursed for alcohol.  \nWhen meals are included in the price of a workshop or conference, meals taken elsewhere are not reimbursed.  \nMeals will be reimbursed according to the reasonable amount of time spent on travel during the day.  Tips should be reasonable and will be reimbursed at a maximum of 20% of the employee's total meal charge.""]","$55 per day, with major cities having $65 per day rate","Actual meal expenses should not exceed $55 per day, though major cities like New York and Los Angeles are paid at a rate of $65 per day.",1,1,0.5350340591
What is the policy regarding alcohol reimbursement during business meals?,"[""Alcoholic beverages are not considered a reimbursable expense unless approved in advance for business entertainment purposes, such as donor-relations' events.  In no case will more than 20% of the total billable meal expenses be reimbursed for alcohol.  \nWhen meals are included in the price of a workshop or conference, meals taken elsewhere are not reimbursed.  \nMeals will be reimbursed according to the reasonable amount of time spent on travel during the day.  Tips should be reasonable and will be reimbursed at a maximum of 20% of the employee's total meal charge."", ""Alcoholic beverages are not considered a reimbursable expense unless approved in advance for business entertainment purposes, such as donor-relations' events.  In no case will more than 20% of the total billable meal expenses be reimbursed for alcohol.  \nWhen meals are included in the price of a workshop or conference, meals taken elsewhere are not reimbursed.  \nMeals will be reimbursed according to the reasonable amount of time spent on travel during the day.  Tips should be reasonable and will be reimbursed at a maximum of 20% of the employee's total meal charge."", 'According to the IRS guidelines, meal and entertainment charges for business guests are reimbursable when names, positions or titles, and the organizational affiliation of the guest, along with the business purpose are indicated on the supporting documentation.   Payment of personal meals for families or guests of travelers are not permissible.  Original receipts are required for any meal or entertainment expense $25 or over.   Photocopies of invoices, credit card statements or record of charge slips accompanying the monthly billing statement are not acceptable.  Details of the business']","Alcoholic beverages are only considered a reimbursable expense if approved in advance for specific business entertainment purposes, such as donor-relations' events. Furthermore, no more than 20% of the total billable meal expenses will be covered when alcohol is involved.","Alcoholic beverages are not reimbursable unless approved in advance for business entertainment purposes, and in no case will more than 20% of the total billable meal expenses be reimbursed for alcohol.",1,1,0.7327166762
Can faculty members travel to countries with a Level 4 travel advisory?,"['Travelers should contact the Center for Global Education at (330) 829-3864 for essential information prior to international travel, including a review of the Travel Warning Policy. In no event will a member of the faculty or staff, or a student traveling for University-related purposes, be permitted to travel to countries with an active embargo or a level 3 or level 4 travel advisory in place .  This policy also applies to undergraduate and graduate study abroad, faculty-led trips or any University function that seeks academic credit, University funding or financial support, including', 'Travelers should contact the Center for Global Education at (330) 829-3864 for essential information prior to international travel, including a review of the Travel Warning Policy. In no event will a member of the faculty or staff, or a student traveling for University-related purposes, be permitted to travel to countries with an active embargo or a level 3 or level 4 travel advisory in place .  This policy also applies to undergraduate and graduate study abroad, faculty-led trips or any University function that seeks academic credit, University funding or financial support, including', ""For faculty, staff and students who plan to study abroad or conduct faculty-led international trips, please consult the Center for Global Education's Faculty and Staff-Led International Travel Seminars Handbook for procedures and special requirements.  Payment methods, documentation and reimbursement procedures can be found in this document for proper payment of University-related expenses.  \nA trip advisor must be designated to oversee student travel with faculty or staff and must adhere to the following responsibilities""]","I cannot find this information in the provided policies. The context states that no member of the faculty will be permitted to travel to countries with an active embargo or a level 3 or level 4 travel advisory, but it doesn't explicitly address whether exceptions exist under specific circumstances such as study abroad programs.","No, faculty, staff, or students are not permitted to travel to countries with an active embargo or a level 3 or level 4 travel advisory in place.",1,0.6666666667,0.7089147609
